Brand Name,Brand,Garment Type,Price Point,Made in USA,Vibe,Notes,URL Raw,URL
R. Hanauer,R. Hanauer,Neckties,$$,All,Formal,,https://bowties.com/,https://bowties.com/
American Blanket Co,American Blanket Co,Bedding,$$,All,Casual,,https://www.americanblanketcompany.com/default.asp,https://www.americanblanketcompany.com/default.asp
American Blanket Co,American Blanket Co,Bath,$,All,Casual,,https://www.americanblanketcompany.com/default.asp,https://www.americanblanketcompany.com/default.asp
American Cotton,American Cotton,Bedding,$$,All,Casual,,https://americancotton.com/,https://americancotton.com/
American Cotton,American Cotton,Bath,$,All,Casual,,https://americancotton.com/,https://americancotton.com/
Red Land Cotton,Red Land Cotton,Bedding,$$$,All,Casual,,https://www.redlandcotton.com/,https://www.redlandcotton.com/
Red Land Cotton,Red Land Cotton,Bath,$,All,Casual,,https://www.redlandcotton.com/,https://www.redlandcotton.com/
Billiam,Billiam,Jeans/Denim,$$$$,All,Luxury/Designer,https://billiamjeans.com/shop/tailored-slim-in-dark-indigo-stretch-denim-jsel7,https://billiamjeans.com/,https://billiamjeans.com/
Railcar,Railcar,Jeans/Denim,$$,Most,Casual,Some other products,https://railcarfinegoods.com/products/spikes-x001?variant=23573455896634,https://railcarfinegoods.com/products/spikes-x001?variant=23573455896634
American Trench,American Trench,Sweatshirts,$,All,Casual,Jackets and accessories,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Sweaters,$$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Polos,$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,T-Shirts,$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Sport Shirts,$$$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Underwear,$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Athletic Wear,$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Jeans/Denim,$$$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Blazers/Sport Coats,$$$$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Jackets/Outerwear,$$$$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Trench,American Trench,Socks,$,All,Casual,,https://www.americantrench.com/,https://www.americantrench.com/
American Wollen,American Wollen,Blazers/Sport Coats,$$$$,All,Luxury/Designer,Very Limited Selection,https://americanwoolen.com/,https://americanwoolen.com/
American Wollen,American Wollen,Bedding,$$$,All,Luxury/Designer,Very Limited Selection,https://americanwoolen.com/,https://americanwoolen.com/
Overland,Overland,Jackets/Outerwear,$$$$$,Some,Casual,,https://www.overland.com/,https://www.overland.com/
Overland,Overland,Belts,$$,Some,Casual,,https://www.overland.com/,https://www.overland.com/
Overland,Overland,Hats,$$,Some,Casual,,https://www.overland.com/,https://www.overland.com/
All American Khakis,All American Khakis,Khakis/Golf Pants,$,All,Casual,,https://allamericankhakis.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviCJUxrJa2lK25tk0kx2CsktIng6sozKWvJdsyPWYQD9a-_n6YggeTcaAgMIEALw_wcB,https://allamericankhakis.com/?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviCJUxrJa2lK25tk0kx2CsktIng6sozKWvJdsyPWYQD9a-_n6YggeTcaAgMIEALw_wcB
Bills Khakis,Bills Khakis,Khakis/Golf Pants,$$$,All,Casual,Shirts/sweaters,https://www.billskhakis.com/,https://www.billskhakis.com/
Bills Khakis,Bills Khakis,Jeans/Denim,$$,All,Casual,,https://www.billskhakis.com/,https://www.billskhakis.com/
Bills Khakis,Bills Khakis,Sport Shirts,$$,All,Casual,,https://www.billskhakis.com/,https://www.billskhakis.com/
Bills Khakis,Bills Khakis,T-Shirts,$,All,Casual,,https://www.billskhakis.com/,https://www.billskhakis.com/
Bills Khakis,Bills Khakis,Sweatshirts,$$,All,Casual,,https://www.billskhakis.com/,https://www.billskhakis.com/
Bills Khakis,Bills Khakis,Jackets/Outerwear,$$$,All,Casual,,https://www.billskhakis.com/,https://www.billskhakis.com/
Bills Khakis,Bills Khakis,Belts,$,All,Casual,,https://www.billskhakis.com/,https://www.billskhakis.com/
Bills Khakis,Bills Khakis,Underwear,$,All,Casual,,https://www.billskhakis.com/,https://www.billskhakis.com/
Vermont Flannel,Vermont Flannel,T-Shirts,$,All,Casual,,https://www.vermontflannel.com/,https://www.vermontflannel.com/
Vermont Flannel,Vermont Flannel,Sport Shirts,$,All,Casual,Flannel Shirts,https://www.vermontflannel.com/,https://www.vermontflannel.com/
Vermont Flannel,Vermont Flannel,Pajamas,$,All,Casual,,https://www.vermontflannel.com/,https://www.vermontflannel.com/
Vermont Flannel,Vermont Flannel,Sweatshirts,$$,All,Casual,,https://www.vermontflannel.com/,https://www.vermontflannel.com/
Vermont Flannel,Vermont Flannel,Bedding,$,All,Casual,,https://www.vermontflannel.com/,https://www.vermontflannel.com/
Allen Edmonds,Allen Edmonds,Shoes,$$$$,Most,Formal,,https://www.allenedmonds.com/home?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDE6X0I-M1BU6uXPCQovb_CLXv7VfO_V9i8QDh2tldUchupGbO3l5YaAq36EALw_wcB&partnerid=cpc_google_gbrandinregioncore,https://www.allenedmonds.com/home?gclid=Cj0KCQjwoqDtBRD-ARIsAL4pviDE6X0I-M1BU6uXPCQovb_CLXv7VfO_V9i8QDh2tldUchupGbO3l5YaAq36EALw_wcB&partnerid=cpc_google_gbrandinregioncore
